product_id,name,weight,length,width,height,expiration_date,category,is_stackable,is_fragile,orientation,danger_class,turnover_rate,seasonal_tag,promotion,img
33,탐사수 2L,2.69,30,19,43,2026-07-14,음료,Y,Y,N,0,2,봄,Y,https://example.com/P033.jpg
34,샤프란 섬유유연제,4.05,23,30,26,2026-03-23,잡화,Y,N,Y,4,27,여름,N,https://example.com/P034.jpg
35,바나나맛우유,3.69,35,13,12,2025-09-06,잡화,Y,Y,Y,3,11,겨울,N,https://example.com/P035.jpg
36,맥심 모카골드,1.72,47,42,18,2025-10-20,생필품,Y,N,Y,2,26,여름,Y,https://example.com/P036.jpg
37,홈런볼,0.75,19,12,16,2026-05-08,식품,Y,N,N,4,13,,N,https://example.com/P037.jpg
38,오랄비 칫솔,2.59,35,43,17,2026-07-24,가전,Y,N,Y,0,23,봄,N,https://example.com/P038.jpg
39,비타500 100ml,1.46,43,25,22,2026-05-14,잡화,Y,Y,N,2,29,가을,N,https://example.com/P039.jpg
40,몽쉘 크림케이크,2.95,16,42,25,2026-05-10,생필품,Y,Y,N,1,10,겨울,N,https://example.com/P040.jpg
41,크리넥스 마스크,0.47,42,43,26,2026-01-05,생필품,N,N,Y,1,25,여름,Y,https://example.com/P041.jpg
42,딸기우유 200ml,1.0,14,34,10,2026-06-18,식품,N,N,N,4,14,,N,https://example.com/P042.jpg
43,아이리버 이어폰,2.34,34,38,33,2026-05-13,가전,Y,Y,Y,0,3,가을,N,https://example.com/P043.jpg
44,코카콜라 500ml,0.15,38,14,24,2026-05-05,음료,N,Y,N,1,6,,Y,https://example.com/P044.jpg
45,3M 테이프,3.75,34,41,10,2025-09-26,잡화,N,N,Y,0,8,가을,N,https://example.com/P045.jpg
46,팔도 비빔면,3.02,14,17,47,2025-12-12,잡화,N,Y,Y,5,28,여름,N,https://example.com/P046.jpg
47,USB 멀티탭,1.79,20,50,22,2026-02-19,가전,Y,N,Y,3,13,여름,Y,https://example.com/P047.jpg
48,에비앙 500ml,0.85,39,46,30,2025-09-28,식품,Y,N,Y,2,21,봄,N,https://example.com/P048.jpg
49,누네띠네,1.34,6,37,40,2026-03-05,잡화,Y,N,Y,5,3,가을,Y,https://example.com/P049.jpg
50,햇반 210g,0.73,7,43,46,2026-08-03,식품,N,N,N,3,8,여름,N,https://example.com/P050.jpg
